02/08/2021 at 07:20上午 ET,388.93,388.98,388.88,388.9,9226
02/08/2021 at 07:30上午 ET,388.93,388.93,388.73,388.9,18187
02/08/2021 at 07:40上午 ET,388.94,388.94,388.78,388.92,9092
02/08/2021 at 07:50上午 ET,388.95,389.06,388.91,389.05,10011
02/08/2021 at 08:00上午 ET,388.98,388.98,388.9,388.93,4401
02/08/2021 at 08:10上午 ET,388.97,389.2,388.97,389.2,18109
02/08/2021 at 08:20上午 ET,389.2,389.27,389.1,389.2,17148
02/08/2021 at 08:30上午 ET,389.16,389.17,389.05,389.1,26126
02/08/2021 at 08:40上午 ET,389.11,389.28,389.1,389.15,29028
02/08/2021 at 08:50上午 ET,389.2,389.28,389.2,389.2,11330
02/08/2021 at 09:00上午 ET,389.23,389.28,389.18,389.28,6189
02/08/2021 at 09:10上午 ET,389.27,389.46,389.27,389.41,36307
02/08/2021 at 09:20上午 ET,389.41,389.42,389.21,389.3,58005
02/08/2021 at 09:30上午 ET,389.27,389.56,389.1,389.23,1726251
02/08/2021 at 09:40上午 ET,389.24,389.67,389.16,389.663,1057423
02/08/2021 at 09:50上午 ET,389.6617,389.82,389.44,389.63,909734
02/08/2021 at 10:00上午 ET,389.6399,389.87,389.5187,389.855,714327
02/08/2021 at 10:10上午 ET,389.84,389.87,389.49,389.74,591650
02/08/2021 at 10:20上午 ET,389.75,389.79,389.24,389.525,731188
02/08/2021 at 10:30上午 ET,389.53,389.69,389.42,389.62,629752
02/08/2021 at 10:40上午 ET,389.63,389.95,389.605,389.77,574104
02/08/2021 at 10:50上午 ET,389.775,389.81,389.333,389.55,657267
02/08/2021 at 11:00上午 ET,389.55,389.6399,389.2901,389.315,393845
02/08/2021 at 11:10上午 ET,389.31,389.37,388.9,389.01,820568
02/08/2021 at 11:20上午 ET,388.995,389.22,388.98,389.125,460792
02/08/2021 at 11:30上午 ET,389.127,389.18,388.55,388.575,918487
02/08/2021 at 11:40上午 ET,388.56,388.89,388.35,388.86,805004
02/08/2021 at 11:50上午 ET,388.855,389.08,388.84,388.891,535115
02/08/2021 at 12:00下午 ET,388.91,389.03,388.91,389.0,422104
02/08/2021 at 12:10下午 ET,389.01,389.3,389.0,389.2,471966
02/08/2021 at 12:20下午 ET,389.21,389.38,389.18,389.295,338610
02/08/2021 at 12:30下午 ET,389.2911,389.3,389.0872,389.1,429548
02/08/2021 at 12:40下午 ET,389.11,389.31,389.04,389.2201,275170
02/08/2021 at 12:50下午 ET,389.2219,389.2499,388.91,389.03,333749
02/08/2021 at 01:00下午 ET,389.03,389.04,388.82,388.915,404638
02/08/2021 at 01:10下午 ET,388.9189,389.17,388.87,389.1301,367366
02/08/2021 at 01:20下午 ET,389.1381,389.17,388.98,389.04,208215
02/08/2021 at 01:30下午 ET,389.045,389.28,389.03,389.245,261919
02/08/2021 at 01:40下午 ET,389.245,389.31,389.03,389.105,393037
02/08/2021 at 01:50下午 ET,389.1,389.12,388.59,388.8,1280816
02/08/2021 at 02:00下午 ET,388.805,389.08,388.77,389.0289,658595
02/08/2021 at 02:10下午 ET,389.04,389.07,388.92,388.92,217328
02/08/2021 at 02:20下午 ET,388.913,389.17,388.84,389.02,309801
02/08/2021 at 02:30下午 ET,389.015,389.12,388.82,389.0919,267095
02/08/2021 at 02:40下午 ET,389.09,389.2,389.0,389.1106,308187
02/08/2021 at 02:50下午 ET,389.11,389.35,389.08,389.33,424239
02/08/2021 at 03:00下午 ET,389.32,389.42,389.24,389.27,458352
02/08/2021 at 03:10下午 ET,389.27,389.49,389.26,389.34,578407
02/08/2021 at 03:20下午 ET,389.35,389.55,389.34,389.53,517403
02/08/2021 at 03:30下午 ET,389.52,389.66,389.4,389.5671,781465
02/08/2021 at 03:40下午 ET,389.565,389.797,389.53,389.71,1027952
02/08/2021 at 03:50下午 ET,389.71,390.54,389.64,390.53,3052380
02/08/2021 at 04:00下午 ET,390.545,390.56,390.41,390.47,1669894
02/08/2021 at 04:10下午 ET,390.46,390.62,390.29,390.4,281230
02/08/2021 at 04:20下午 ET,390.37,390.47,390.3,390.41,124499
02/08/2021 at 04:30下午 ET,390.44,390.59,390.43,390.48,111237
02/08/2021 at 04:40下午 ET,390.5,390.75,390.49,390.67,55120
02/08/2021 at 04:50下午 ET,390.69,390.73,390.65,390.65,28243
02/08/2021 at 05:00下午 ET,390.65,390.65,390.6,390.64,15198
02/08/2021 at 05:10下午 ET,390.65,390.75,390.6,390.62,31858
02/08/2021 at 05:20下午 ET,390.63,390.68,390.56,390.56,30414
02/08/2021 at 05:30下午 ET,390.6,390.69,390.57,390.57,18704
02/08/2021 at 05:40下午 ET,390.68,390.68,390.55,390.58,11462
02/08/2021 at 05:50下午 ET,390.61,390.66,390.6,390.66,4226
02/08/2021 at 06:00下午 ET,390.69,390.9,390.47,390.56,88062
02/08/2021 at 06:10下午 ET,390.6,390.7,390.53,390.53,14231
02/08/2021 at 06:20下午 ET,390.53,390.53,390.35,390.37,48382
02/08/2021 at 06:30下午 ET,390.39,390.51,390.37,390.46,34847
02/08/2021 at 06:40下午 ET,390.47,390.58,390.35,390.5301,13073
02/08/2021 at 06:50下午 ET,390.52,390.59,390.46,390.59,5729
02/08/2021 at 07:00下午 ET,390.51,390.57,390.3,390.36,12282
02/08/2021 at 07:10下午 ET,390.35,390.38,390.23,390.27,19150
02/08/2021 at 07:20下午 ET,390.33,390.34,390.09,390.13,30301
02/08/2021 at 07:30下午 ET,390.12,390.3,390.11,390.19,14774
02/08/2021 at 07:40下午 ET,390.18,390.25,390.11,390.24,35235
02/08/2021 at 07:50下午 ET,390.25,390.69,390.2,390.5,144456
02/08/2021 at 08:00下午 ET,390.65,390.65,390.65,390.65,100
02/08/2021 at 08:10下午 ET,390.39,390.53,390.15,390.15,870
02/08/2021 at 08:20下午 ET,390.3,390.35,390.3,390.35,54
02/08/2021 at 08:30下午 ET,390.2,390.35,390.2,390.35,54
02/08/2021 at 08:40下午 ET,390.49,390.49,390.48,390.49,400
02/08/2021 at 08:50下午 ET,390.55,390.8,390.55,390.8,256
02/08/2021 at 09:00下午 ET,390.8,390.8,390.75,390.75,102
02/08/2021 at 09:20下午 ET,390.55,390.66,390.55,390.66,110
02/08/2021 at 09:30下午 ET,390.77,390.77,390.76,390.76,500
02/08/2021 at 09:40下午 ET,390.62,390.62,390.58,390.58,22
02/08/2021 at 10:10下午 ET,390.58,390.58,390.58,390.58,18
02/08/2021 at 10:40下午 ET,390.45,390.52,390.45,390.52,405
02/08/2021 at 10:50下午 ET,390.45,390.45,390.45,390.45,5
02/08/2021 at 11:10下午 ET,390.45,390.45,390.45,390.45,150
